label,feature
pergi,aku keluar ya
kandungan,obat ini mengandung zat apa saja?
fitur,hal apa yang didukung oleh obatin
indikasi,efek yang diharapkan
cara,menggunakan bagaimana obat
kandungan,zat apa yang terkandung dalam obat ini
efeksamping,Obat ini Bagaimana dampak buruknya
pergi,baiklah
efeksamping,Berdampak seperti apakah diriku setelah aku minum obat ini
cara,cara mengaplikasikan obat
indikasi,apa keunggulan obat ini dibandingkan obat lain
indikasi,mengapa harus minum obat ini
kandungan,daftar kandungan yang ada di obat ini
cara,konsumsi obat
indikasi,apa indikasi yang ditawarkan oleh obat ini
indikasi,mau nanya terkait Kegunaan obat
kandungan,Komponen obat ini
kandungan,benarkah obat terdiri dari
efeksamping,Gejala seperti apa setelah aku pakai obat ini
indikasi,obat ini punya kegunaan apa
fitur,Kamu bisa ngapain aja
cara,aturan penggunaan obat
indikasi,kemanfaatan obat ini
indikasi,jelaskan dampak positif yang didapat dari mengonsumsi obat
efeksamping,Reaksi yang akan ditimbulkan setelah aku minum obat ini
efeksamping,keluhan yang mungkin muncul akibat efek samping dari minum obat
kandungan,kandungan yang terdapat di obat
pergi,pergi ya aku
cara,panduan minum obat
efeksamping,Bagaimana dampak jika kita minum obat
cara,berapa kali minum obat
efeksamping,dampak dari mengonsumsi obat
indikasi,manfaat yang dihasilkan bila mengonsumsi obat tertentu
kandungan,bahan yang dipakai obat ini
fitur,Bisa ngapain aja sih kamu
cara,Bagaimana cara memakai obat ini
kandungan,zat apa yang menjadi komposisi dari obat
pergi,terimakasih telah membantu
pergi,nice info
fitur,Berikan beberapa manfaat dari aplikasi ini
indikasi,apa dampak baik yang dirasakan setelah meminum obat ini
fitur,Berikan fiturmu
cara,penggunaan obat
efeksamping,saya hendak bertanya terkait efek samping suatu obat
cara,penggunaan obat langkah
indikasi,Obat ini dapat digunakan untuk apa
pergi,pamit undur diri
indikasi,jelaskan manfaat dari mengonsumsi obat
indikasi,dampak baik yang diharapkan
cara,bagaimana obat ini dikonsumsi
fitur,apakah obatin dapat memberikan informasi seputar obat
efeksamping,dampak negatif obat
indikasi,manfaat apa yang mungkin didapatkan bila meminum obat ini
indikasi,obat ini menyembuhkan apa
efeksamping,adakah pengaruh buruk dari meminum obat
fitur,Fiturmu apa aja
indikasi,obat yang tepat untuk penyakit ini
indikasi,obat ini manjur untuk penyakit apa
indikasi,efek dari tidak meminum obat 
fitur,data apa yang dimiliki obatin
efeksamping,Dampak negatif dari obat ini
kandungan,komposisi
indikasi,obat ini bagus untuk sakit
pergi,Senang berbicara denganmu
cara,gimana cara
kandungan,Obat ini bahannya apa
pergi,Terima kasih obatin karena engkau selalu ada di saat aku membutuhkanmu.
kandungan,mau bertanya tentang komposisi obat
kandungan,Obatnya isinya apa saja
pergi,Thank you
indikasi,penyakit apa yang diatasi obat ini
cara,tahapan minum obat
kandungan,bahan penyusun obat
kandungan,obat ini memiliki muatan apa saja
fitur,apa kepentingan untuk menggunakan obatin
fitur,apa yang membuat saya harus menggunakan obatin
indikasi,mau nanya terkait Fungsi obat
kandungan,obat ini komposisinya apa?
indikasi,apa faidah dari mengonsumsi obat ini
fitur,Bagaimana kamu bisa membantu saya?
indikasi,obat ini bisa nyembuhin penyakit apa
efeksamping,seberapa parahkah efek samping dari konsumsi obat ini
fitur,aplikasi ini punya fitur apa aja
pergi,Semoga harimu menyenangkan
pergi,informasi yang bermanfaat
efeksamping,Efek samping obat ini apa
fitur,punya informasi apa aja
cara,panduan penggunaan obat
cara,bagaimana panduan yang benar untuk menggunakan obat
efeksamping,Apa saja dampak yang ditimbulkan
efeksamping,akibat buruk dari penggunaan obat
indikasi,Tujuan obat
kandungan,Kandungan obat ini apa aja
cara,urutan konsumsi obat sesuai prosedur
efeksamping,bahaya dari efek samping obat
pergi,terimakasih
fitur,seberapa banyak pengetahuan dari aplikasi ini
fitur,Hai bot kamu bisa ngapain
cara,berapa kali konsumsi obat
cara,step mengaplikasikan obat
indikasi,mau nanya terkait indikasi obat
kandungan,zat apa saja yang menyusun obat ini
kandungan,bahan apa saja yang terkandung di obat ini
fitur,Boleh kasih tau fiturmu
cara,prosedur minum obat
kandungan,sebutkan detail dari komposisi obat
pergi,Dah
efeksamping,efek samping atau dampak negatif dari obat
indikasi,Obat ini fungsinya apa
kandungan,Isi obat ini
fitur,Tunjukan bakatmu
cara,dosis penggunaan yang tepat
kandungan,kandungan
efeksamping,efek yang timbul dari obat
pergi,nuhun
kandungan,rincian kandungan obat
fitur,Tunjukin dong cara kerja kamu
pergi,goodbye
cara,panduan mengkonsumsi obat
kandungan,mau nanya komposisi obat
fitur,Ada fitur apa aja
efeksamping,apa efeknya obat ini
pergi,aku sudah mendapatkan apa yang aku cari
efeksamping,adakah hal yang tidak diinginkan jika mengonsumsi obat ini
indikasi,manfaat yang diteirima dari obat
kandungan,obat ini mengandung bahan apa saja?
pergi,terima kasih
fitur,Kasih info dong kamu bisa apa aja
fitur,apa kegunaan aplikasi obatin
indikasi,mengapa milih obat ini bukan yang lain
kandungan,apakah benar obat terdiri dari zat kimia
cara,instruksi penggunaan obat
efeksamping,kekurangan obat
cara,panduan pengaplikasian obat
fitur,aku mau lihat panduan pengguna
kandungan,bahan apa saja yang ada di obat ini
kandungan,materi penyusun obat
fitur,alasan untuk menggunakan obatin
cara,tata cara mengkonsumsi obat
efeksamping,Reaksi setelah minum apa
indikasi,obat ini buat apa
indikasi,apa indikasi dari obat ini
pergi,Selamat Tinggal
efeksamping,kelemahan obat
pergi,Ok makasih
cara,Petunjuk cara penggunaan obat ini
indikasi,dampak positif obat
efeksamping,Resiko penggunaan obat ini
efeksamping,pengaruh buruk setelah minum obat
pergi,obatin aku pamit ya
indikasi,Fungsi obat
pergi,makasih banget
indikasi,sakit ini baiknya minum obat
cara,Cara mengkonsumsi obat ini
cara,cara memakai obat
efeksamping,Dampak negatif setelah aku minum obat ini
efeksamping,ada ngga efek samping dari obat ini
indikasi,hal yang diharapkan
pergi,bye
kandungan,kandungan dari obat
indikasi,Fungsi obat ini buat apa ya
kandungan,kandungan obat
kandungan,obat ini apa aja kandungannya
pergi,cabut dulu ya
efeksamping,apa yang akan ditimbulkan jika mengonsumsi obat
kandungan,bahan apa yang menjadi komposisi dari obat
indikasi,jelaskan kegunaan dari obat ini
indikasi,obat ini cocok untuk penyakit apa aja
cara,seberapa banyak kita minum suatu obat
fitur,jelaskan apa saja informasi yang dapat kamu berikan
efeksamping,jelaskan terkait efek samping dari obat
efeksamping,biasanya muncul efek samping apa kalo minum obat
pergi,Sampai jumpa
cara,Amankah jika obat ini di konsumsi tiap hari
cara,bagaimana cara mengonsumsi obat ini
pergi,selamat jalan
pergi,terima kasih telah memberi pengetahuan tentang swamedikasi
indikasi,indikasi dari obat ini apa
kandungan,obat tuh senyawa yang menjadi komposisinya apa aja
kandungan,Terdiri dari apa saja bahan obat ini
cara,aturan minum obat
fitur,faedah aplikasi obatin
indikasi,mengapa harus memilih obat ini
efeksamping,mau nanya tentang efek samping
efeksamping,penyakit yang mungkin timbul dari efek samping konsumsi obat
indikasi,Tujuan dibuatnya obat ini apa
indikasi,indikasi obat
fitur,apa yang bisa kamu lakukan?
cara,Langkah langkah penggunaan obat
pergi,Terima kasih karena selalu membuat hidup saya lebih mudah obatin.
cara,cara yang benar mengkonsumsi obat
fitur,Apa yang kamu bisa
indikasi,mau nanya terkait Tujuan obat
efeksamping,keluhan yang mungkin muncul setelah mengonsumsi obat
kandungan,apa yang menjadi komposisi obat
efeksamping,Gejala yang timbul seperti apa ketika aku pakai obat ini
indikasi,obat ini pas untuk sakit apa
kandungan,apa aja zat yang ada di obat ini
pergi,aku pamit pergi ya
kandungan,obat ini terdiri dari senyawa apa?
cara,sebutkan cara mengonsumsi obat sesuai anjuran
cara,Adakah anjuran penggunaan obatnya
kandungan,aku mau nanya tentang bahan yang terkandung dalam obat
pergi,Ok bye
efeksamping,berikan informasi terkait efek samping yang dapat muncul dari obat
pergi,Goodbye
indikasi,Gunanya obat ini apa
efeksamping,Adakah efek samping dari obat ini
fitur,Apa yang bisa kau lakukan?
kandungan,saya mau bertanya untuk komposisi obat ini
fitur,Kamu bisa bantu aku apa saja
efeksamping,apakah aman menggunakan obat ini
indikasi,manfaat yang dirasakan oleh orang yang mengonsumsi suatu obat
fitur,jelaskan apa saja fitur yang kamu miliki
indikasi,adakah manfaat dari obat ini bila dikonsumsi dengan benar
fitur,kemampuan obatin
fitur,Apa yang bisa kamu bantu
kandungan,ingin bertanya terkait komposisi obat
efeksamping,Resiko setelah minum obat ini
fitur,obatin bisa membantu kita untuk apa
indikasi,mau nanya terkait Manfaat obat
fitur,kamu bisa ngapain aja
fitur,apa yang kamu tawarkan
pergi,terimakasih aku pergi dulu ya
kandungan,terbuat dari apa obat ini
efeksamping,dampak negatif
kandungan,detail kandungan obat
efeksamping,kira kira obat ini efek sampingnya apa ya
fitur,sebutkan fitur yang kamu miliki
kandungan,Obat ini bahanya apa
fitur,obatin itu aplikasi untuk apa
pergi,mantap makasih obatin
kandungan,daftar senyawa yang ada di obat ini
kandungan,komposisi dari obat ini
indikasi,mengapa harus mengkonsumsi obat ini
efeksamping,Reaksi setelah minum obat
indikasi,obat ini menyembuhkan penyakit apa saja
fitur,fitur apa yang kamu miliki
fitur,kelengkapan data obatin
efeksamping,Apa yang terjadi setelah minum obat ini
fitur,Bot berikan aku fiturmu
efeksamping,paparkan tentang dampak negatif dari penggunaan obat
kandungan,zat apa saja yang menjadi komposisi dari obat ini
cara,step meminum obat
efeksamping,tentang efek yang akan muncul apabila mengonsumsi obat tertentu
cara,Gimana cara minum obat ini
fitur,Kamu tahu apa aja
efeksamping,Rasa efeknya gimana kalau aku minum obat ini
fitur,kenapa harus obatin
kandungan,Terdapat zat apa saja di dalam obat ini
indikasi,tujuan dibuatnya obat ini untuk apa
cara,step penggunaan obat
efeksamping,Apakah ada efek samping dari pemakaian obat yang begitu lama??
cara,cara mengkonsumsi obat
fitur,kelengkapan informasi
pergi,Daah
pergi,babai
efeksamping,Reaksi kimia yang ditimbulkan
cara,panduan untuk pengguna dalam mengonsumsi obat
cara,ketentuan terkait konsumsi obat
indikasi,efek baik dari obat
fitur,bantuan apa yang kamu tawarkan
fitur,Gimana nih cara pakainya
pergi,sudah ya aku pergi dulu
cara,cara meminum obat
cara,adakah langkah penggunaan obat
cara,tentang prosedur penggunaan obat yang benar
kandungan,Obat ini mengandung apa
cara,berapa banyak obat yang dikonsumsi
pergi,Thanks
indikasi,faedah dari obat ini
cara,langkah penggunaan obat
cara,cara pemberian obat
indikasi,apakah obat ini mampu menyembuhkan penyakit
indikasi,apa aja manfaat dari obat ini
efeksamping,efek buruk yang muncul dari suatu obat
indikasi,sebutkan dampak positif dari menggunakan obat
efeksamping,Apa efek samping yg bisa saya dapatkan setelah meminum obat
fitur,sebutkan informasi apa saja yang dapat kamu paparkan
fitur,Seberapa bergunakah kamu?
fitur,mengapa obatin menjadi aplikasi yang harus saya gunakan
cara,sebutkan tata cara minum obat sesuai umur
indikasi,dampak baik setelah minum obat
indikasi,apakah ada indikasi dari mengonsumsi obat
kandungan,daftar komposisi yang ada di obat ini
fitur,apakah obatin memiliki informasi tentang cara mengonsumsi obat
indikasi,indikasi yang muncul bila mengonsumsi suatu obat
pergi,thankyou Obatin
fitur,kamu bisa ngapain aja
fitur,Di aplikasi ini ada fitur apa saja
cara,ketentuan penggunaan obat
indikasi,apa kegunaan obat ini
fitur,bisakah obatin memberi informasi detail tentang obat
fitur,seberapa berguna kamu
pergi,sampai ketemu di kesempatan berikutnya
efeksamping,efek samping ketika meminum obat
cara,Obatnya digimanain sebaiknya
indikasi,apa tujuan dari pengonsumsian obat ini
fitur,Kasih info fiturmu dong
kandungan,obat ini isinya terdiri dari apa
indikasi,indikasi yang ditimbulkan pasca mengonsumsi obat
kandungan,rincian kandungan obat
indikasi,manfaat yang diperoleh bila mengonsumsi obat ini
efeksamping,Reaksi tubuh ku setelah pakai obat
efeksamping,efek yang tidak diharapkan
kandungan,senyawa yang terdapat pada obat ini
kandungan,senyawa yang terkandung dalam obat
kandungan,unsur penyusun obat
kandungan,apa yang dikandung obat ini
cara,seberapa takaran yang tepat untuk konsumsi obat
kandungan,Apa saja bahan obat ini
cara,cara minum obat
fitur,Kasih tau aku dong terkait fiturmu
cara,tata cara konsumsi obat
fitur,tampilin fitur dong
efeksamping,Efek samping jangka pendek obat ini
fitur,mampukah aplikasi obatin memberi informasi tentang swamedikasi
indikasi,obat ini diciptakan untuk apa
pergi,aku pergi dulu terima kasih
efeksamping,Pengaruh yang terjadi setelah meminum obat
cara,tata cara konsumsi obat berdasarkan usia
kandungan,Di dalam obat ini ada apa aja
fitur,bisakah obatin memberi tahu info terkait swamedikasi
indikasi,kelebihan dari obat yang dikonsumsi
fitur,informasi apa yang dimiliki obatin
pergi,wah makasih banyak informasinya
pergi,obatin memang terbaik
efeksamping,Merasakan apa diriku setelah pakai obat ini
fitur,Bisa apa kamu
indikasi,sebutkan indikasi dari obat
efeksamping,alergi akibat mengkonsumsi obat
cara,bagaimana cara menggunakan obat ini
pergi,Tidak ada kata-kata yang bisa mengungkapkan rasa terima kasihku untukmu.
fitur,bagaimana kamu dapat membantuku
indikasi,apa fungsi dari obat ini
indikasi,obat ini punya khasiat apa
cara,Petunjuk penggunaan obat ini
cara,Tata cara penggunaan obat ini
fitur,pengen liat fitur
pergi,informasi yang sangat membantu
indikasi,kegunaan obat ini
efeksamping,obat meminum Pengaruh tubuh setelah
pergi,Sampai Jumpa Lagi
cara,berapa banyak obat yang diminum
pergi,aku bakal pergi
cara,berapa takaran obat yang sesuai
cara,pemakaian obat
pergi,dadah obatin aku pergi dulu ya
cara,adakah panduan penggunaan untuk meminum obat ini?
fitur,dukungan apa yang kamu tawarkan
efeksamping,dampak buruk
pergi,leave
indikasi,sebutkan manfaat dari minum obat
efeksamping,Reaksi yang tidak diinginkan dari obat
efeksamping,Reaksi tubuh setelah minum obat ini
fitur,yang bisa dilakukan obatin
cara,cara penggunaan obat
fitur,seberapa bergunanya obatin
pergi,bye obatin aku leave ya
